Date,Value
1,
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.00260606
13,1.55267
14,1.37712
15,1.12954
16,0.903629
17,0.722903
18,0.578323
19,0.462658
20,0.370127
21,0.296167
22,0.236934
23,0.519852
24,0.415881
25,0.503036
26,0.402429
27,0.330025
28,0.267222
29,0.213777
30,0.171022
31,0.136817
32,0.109454
33,0.34075
34,0.2726
35,0.218082
36,0.174466
37,1.49638
38,1.19711
39,0.957685
40,0.778463
41,0.62277
42,0.498216
43,2.05132
44,1.64106
45,1.31285
46,1.05028
47,0.840479
48,0.681599
49,1.69614
50,1.37907
51,1.10326
52,0.882604
53,0.706084
54,0.564867
55,0.451893
56,0.361515
57,0.290735
58,0.437448
59,0.418342
60,0.431427
61,1.03035
62,2.96205
63,2.78332
64,2.22666
65,1.78133
66,1.43094
67,1.16481
68,0.959216
69,0.767373
70,0.613898
71,0.766391
72,2.21105
73,2.03155
74,2.1943
75,1.83117
76,1.5617
77,1.46854
78,4.86898
79,5.46076
80,4.36866
81,3.49505
82,2.82842
83,2.26273
84,5.02537
85,4.15924
86,3.32739
87,3.11022
88,2.48818
89,1.99054
90,1.59243
91,1.27404
92,1.01923
93,0.815387
94,0.652309
95,0.52201
96,1.69625
97,1.357
98,1.08572
99,0.868606
100,0.694908
101,0.936519
102,0.749215
103,0.599372
104,0.479498
105,0.384782
106,1.45881
107,1.17372
108,1.51902
109,1.24823
110,1.04429
111,0.863933
112,0.70019
113,3.60875
114,2.887
115,2.62972
116,2.10823
117,1.77263
118,1.4208
119,2.60393
120,2.64972
121,2.16337
122,1.7307
123,1.46235
124,1.16988
125,0.947443
126,0.838954
127,5.14669
128,7.31654
129,5.85323
130,4.68259
131,3.74607
132,2.99686
133,4.98115
134,3.99783
135,3.28574
136,2.62859
137,17.8992
138,14.3298
139,17.3688
140,26.8829
141,27.4049
142,28.7671
143,25.4168
144,27.7174
145,42.4545
146,37.2271
147,48.8405
148,74.6617
149,60.3444
150,53.232
151,50.687
152,40.8533
153,36.6616
154,29.3293
155,26.3487
156,26.2419
157,26.4758
158,54.5142
159,91.2328
160,130.837
161,155.586
162,127.539
163,102.189
164,91.7174
165,83.3411
166,66.6923
167,134.02
168,112.761
169,122.312
170,142.09
171,122.048
172,102.45
173,89.3086
174,135.604
175,133.658
176,156.171
177,125.135
178,104.197
179,92.1677
180,117.483
181,170.838
182,141.08
183,154.939
184,197.668
185,166.934
186,139.885
187,123.978
188,139.574
189,154.153
190,132.988
191,113.946
192,111.224
193,128.025
194,109.598
195,88.6999
196,169.712
197,180.472
198,180.539
199,157.772
200,190.987
201,182.732
202,278.383
203,232.605
204,226.675
205,181.634
206,163.747
207,169.834
208,201.401
209,178.544
210,184.388
211,228.761
212,199.54
213,228.0
214,311.516
215,387.846
216,341.839
217,279.06
218,228.143
219,188.784
220,173.998
221,216.058
222,197.58
223,315.238
224,286.773
225,243.14
226,205.159
227,230.054
228,200.985
229,168.451
230,145.781
231,165.518
232,233.355
233,199.895
234,207.318
235,231.507
236,218.841
237,178.712
238,156.202
239,128.43
240,106.64
241,169.009
242,201.85
243,208.379
244,231.829
245,210.083
246,217.981
247,189.944
248,214.588
249,219.132
250,211.368
251,254.159
252,271.862
253,282.346
254,308.558
255,266.858
256,269.304
257,227.677
258,197.907
259,187.214
260,162.871
261,150.595
262,145.368
263,138.823
264,171.162
265,182.745
266,162.698
267,142.585
268,122.017
269,183.476
270,148.238
271,119.367
272,96.5403
273,77.5756
274,63.7481
275,51.1883
276,44.9493
277,35.9675
278,28.774
279,23.0335
280,18.5463
281,15.3647
282,12.3778
283,9.93567
284,7.94854
285,8.63117
286,6.91733
287,5.53386
288,4.55752
289,3.64601
290,2.91681
291,2.33345
292,1.86676
293,1.49341
294,1.19473
295,0.95578
296,0.764624
297,8.46945
298,6.77831
299,5.45661
300,4.36529
301,3.49223
302,2.79378
303,2.23503
304,1.78802
305,1.43042
306,1.1514
307,0.922389
308,0.737911
309,0.590329
310,0.472263
311,0.377811
312,0.302248
313,0.241799
314,0.193439
315,0.154751
316,0.123801
317,0.0990408
318,0.0792326
319,0.0634279
320,0.0507423
321,0.0405938
322,0.0324751
323,0.0260573
324,0.0208459
325,0.0166767
326,0.0133414
327,0.0106731
328,0.00908144
329,0.00726515
330,0.00581212
331,0.0046497
332,0.00371976
333,0.74035
334,0.637229
335,0.63701
336,0.513325
337,0.411575
338,0.32926
339,0.263408
340,0.258032
341,0.21216
342,0.169728
343,0.135782
